"","datetime","pm10","pm2p5"
"2850",2022-04-08 12:10:00,18.6598,16.0317
"2851",2022-04-08 12:15:00,19.3033,13.0578
"2852",2022-04-08 12:20:00,21.2997,7.9569
"2853",2022-04-08 12:25:00,20.5868,6.39498
"2854",2022-04-08 12:30:00,17.4182,4.18377
"2855",2022-04-08 12:35:00,14.15,-0.44268
"2856",2022-04-08 12:40:00,13.6699,-3.13589
"2857",2022-04-08 12:45:00,14.8196,-2.54261
"2858",2022-04-08 12:50:00,13.8823,-2.19394
"2859",2022-04-08 12:55:00,14.132,-0.0241252
"2860",2022-04-08 13:00:00,15.0942,-0.991671
"2861",2022-04-08 13:05:00,13.5895,-2.94511
"2862",2022-04-08 13:10:00,16.8612,0.573
"2863",2022-04-08 13:15:00,15.1689,0.410508
"2864",2022-04-08 13:20:00,11.7889,-2.9768
"2865",2022-04-08 13:25:00,12.4571,-6.19789
"2866",2022-04-08 13:30:00,12.1363,-9.59296
"2867",2022-04-08 13:35:00,7.83343,-11.6611
"2868",2022-04-08 13:40:00,6.96286,-13.9038
"2869",2022-04-08 13:45:00,6.67379,-9.10763
"2870",2022-04-08 13:50:00,8.08176,-6.68634
"2871",2022-04-08 13:55:00,7.8337,-0.798562
"2872",2022-04-08 14:00:00,9.01585,2.2412
"2873",2022-04-08 14:05:00,10.3713,3.57781
"2874",2022-04-08 14:10:00,9.07776,6.06699
"2875",2022-04-08 14:15:00,10.7857,8.94423
"2876",2022-04-08 14:20:00,13.4464,9.48404
"2877",2022-04-08 14:25:00,12.8692,5.58823
"2878",2022-04-08 14:30:00,10.0665,2.0362
"2879",2022-04-08 14:35:00,9.90611,1.14026
"2880",2022-04-08 14:40:00,11.3293,-1.29433
"2881",2022-04-08 14:45:00,13.2018,-1.40622
"2882",2022-04-08 14:50:00,13.8298,0.819596
"2883",2022-04-08 14:55:00,13.8673,1.51279
"2884",2022-04-08 15:00:00,16.1644,2.44815
"2885",2022-04-08 15:05:00,18.9793,1.07576
"2886",2022-04-08 15:10:00,21.3495,3.54053
"2887",2022-04-08 15:15:00,22.0208,6.76551
"2888",2022-04-08 15:20:00,21.4606,6.43817
"2889",2022-04-08 15:25:00,16.4304,7.11814
"2890",2022-04-08 15:30:00,13.9187,5.29886
"2891",2022-04-08 15:35:00,16.0281,0.510356
"2892",2022-04-08 15:40:00,19.9238,1.21349
"2893",2022-04-08 15:45:00,19.6846,1.21797
"2894",2022-04-08 15:50:00,19.3647,-0.640663
"2895",2022-04-08 15:55:00,14.9525,0.0931066
"2896",2022-04-08 16:00:00,12.826,1.07013
"2897",2022-04-08 16:05:00,13.1694,0.219662
"2898",2022-04-08 16:10:00,13.1694,0.219662
"2899",2022-04-08 16:15:00,13.1694,0.219626
"2900",2022-04-08 16:20:00,12.2692,-0.438239
"2901",2022-04-08 16:25:00,10.9363,-1.09304
"2902",2022-04-08 16:30:00,9.37299,-1.84014
"2903",2022-04-08 16:35:00,9.2024,-1.77896
"2904",2022-04-08 16:40:00,10.4735,0.0038787
"2905",2022-04-08 16:45:00,12.0918,-0.181301
"2906",2022-04-08 16:50:00,11.811,-1.09851
"2907",2022-04-08 16:55:00,10.3188,-0.458808
"2908",2022-04-08 17:00:00,13.8317,2.59583
"2909",2022-04-08 17:05:00,20.3503,1.46933
"2910",2022-04-08 17:10:00,21.865,1.65289
"2911",2022-04-08 17:15:00,23.5732,3.7942
"2912",2022-04-08 17:20:00,24.9867,3.97059
"2913",2022-04-08 17:25:00,27.3953,2.17565
"2914",2022-04-08 17:30:00,27.0087,3.10611
"2915",2022-04-08 17:35:00,28.4883,5.76126
"2916",2022-04-08 17:40:00,26.8495,7.65971
"2917",2022-04-08 17:45:00,22.361,6.0572
"2918",2022-04-08 17:50:00,20.0897,5.71319
"2919",2022-04-08 17:55:00,18.0548,5.53166
"2920",2022-04-08 18:00:00,13.9314,6.40236
"2921",2022-04-08 18:05:00,15.3719,4.63429
"2922",2022-04-08 18:10:00,21.0255,4.36232
"2923",2022-04-08 18:15:00,22.367,1.95412
"2924",2022-04-08 18:20:00,21.6224,2.47899
"2925",2022-04-08 18:25:00,20.5639,5.57185
"2926",2022-04-08 18:30:00,16.3993,9.11713
"2927",2022-04-08 18:35:00,14.3725,9.77302
"2928",2022-04-08 18:40:00,14.4594,6.63334
"2929",2022-04-08 18:45:00,12.4778,7.13996
"2930",2022-04-08 18:50:00,9.59478,3.07648
